UNITID,INSTNM,INST_DISPLAYNM,CIPCODE,CIPDESC,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,AWARDSTOTAL
100654,Alabama A & M University,Alabama A&M,5202,"Business Administration, Management and Operations.",Bachelor's Degree,43,39,82
100654,Alabama A & M University,Alabama A&M,4301,Criminal Justice and Corrections.,Bachelor's Degree,46,32,78
100654,Alabama A & M University,Alabama A&M,4201,"Psychology, General.",Bachelor's Degree,38,34,72
100654,Alabama A & M University,Alabama A&M,1101,"Computer and Information Sciences, General.",Bachelor's Degree,41,26,67
100654,Alabama A & M University,Alabama A&M,1419,Mechanical Engineering.,Bachelor's Degree,30,20,50
100654,Alabama A & M University,Alabama A&M,4407,Social Work.,Bachelor's Degree,22,23,45
100654,Alabama A & M University,Alabama A&M,1002,Audiovisual Communications Technologies/Technicians.,Bachelor's Degree,17,24,41
100654,Alabama A & M University,Alabama A&M,3105,"Sports, Kinesiology, and Physical Education/Fitness.",Bachelor's Degree,17,24,41
100654,Alabama A & M University,Alabama A&M,1410,"Electrical, Electronics, and Communications Engineering.",Bachelor's Degree,18,22,40
100654,Alabama A & M University,Alabama A&M,2401,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,9,25,34
100654,Alabama A & M University,Alabama A&M,5203,Accounting and Related Services.,Bachelor's Degree,19,9,28
100654,Alabama A & M University,Alabama A&M,109,Animal Sciences.,Bachelor's Degree,9,18,27
100654,Alabama A & M University,Alabama A&M,1510,Construction Engineering Technology/Technician.,Bachelor's Degree,8,19,27
100654,Alabama A & M University,Alabama A&M,1310,Special Education and Teaching.,Bachelor's Degree,11,14,25
100654,Alabama A & M University,Alabama A&M,5214,Marketing.,Bachelor's Degree,10,15,25
100654,Alabama A & M University,Alabama A&M,1408,Civil Engineering.,Bachelor's Degree,7,15,22
100654,Alabama A & M University,Alabama A&M,1901,"Family and Consumer Sciences/Human Sciences, General.",Bachelor's Degree,12,10,22
100654,Alabama A & M University,Alabama A&M,4510,Political Science and Government.,Bachelor's Degree,12,9,21
100654,Alabama A & M University,Alabama A&M,110,Food Science and Technology.,Bachelor's Degree,7,8,15
